FID,WSA_AGIDF,SUM_GU_POP,COUNT_POLY,STATE_ABBR,STATE_FIPS,STATE_NM,SUM_SQKM,HUC2,HUC2_NM,WSA_NAME,OID_1,WSA_AGIDF1,TOT_WD_MGD,WD_YEAR,IN_SWUDS,x_centroid,y_centroid
10,055294301,1001.000000000000000,1,MN,27,Minnesota,25.570721738100001,07,Upper Mississippi Region,VINELAND,0, ,0.000000000000000,0.0000000, ,172038.0000000,2579290.0000000
11,055294401,284.000000000000000,1,MN,27,Minnesota,4.456172316230000,09,Souris-Red-Rainy Region,NETT LAKE,0, ,0.000000000000000,0.0000000, ,219151.0000000,2794270.0000000
12,055294602,1334.000000000000000,1,MN,27,Minnesota,14.577212270100000,09,Souris-Red-Rainy Region,REDBY/RED LAKE,0, ,0.000000000000000,0.0000000, ,81656.5000000,2764320.0000000
13,055294603,724.000000000000000,1,MN,27,Minnesota,28.373309237499999,09,Souris-Red-Rainy Region,PONEMAH,0, ,0.000000000000000,0.0000000, ,82708.2968750,2782540.0000000
14,055294701,578.000000000000000,1,MN,27,Minnesota,8.492889856320000,09,Souris-Red-Rainy Region,NAYTAHWAUSH,0, ,0.000000000000000,0.0000000, ,27906.5996094,2697540.0000000
15,055294702,338.000000000000000,1,MN,27,Minnesota,10.665096712400000,07,Upper Mississippi Region,PONSFORD/PINE POINT,0, ,0.000000000000000,0.0000000, ,46618.8007813,2666780.0000000
16,055294703,235.000000000000000,1,MN,27,Minnesota,27.673549924600000,09,Souris-Red-Rainy Region,RICE LAKE,0, ,0.000000000000000,0.0000000, ,37193.6015625,2710290.0000000
17,055294704,764.000000000000000,2,MN,27,Minnesota,13.529940009600001,09,Souris-Red-Rainy Region,WHITE EARTH,0, ,0.000000000000000,0.0000000, ,9967.2099609,2678490.0000000
18,055294705,95.000000000000000,1,MN,27,Minnesota,3.462461045660000,09,Souris-Red-Rainy Region,ELBOW LAKE,0, ,0.000000000000000,0.0000000, ,34871.1992188,2683680.0000000
19,055294801,239.000000000000000,1,MN,27,Minnesota,3.280457259690000,04,Great Lakes Region,BELICH ADDITION (MAHNOMEN),0, ,0.000000000000000,0.0000000, ,265171.0000000,2647440.0000000
20,055295101,70.000000000000000,1,WI,55,Wisconsin,1.063941153120000,04,Great Lakes Region,DIAPERVILLE,1,055295101,0.001750000000000,2010.0000000,Y,406443.0000000,2635390.0000000
21,055295102,472.000000000000000,1,WI,55,Wisconsin,10.065266064899999,04,Great Lakes Region,NEW ODANAH,2,055295102,0.023765000000000,2010.0000000,Y,409928.0000000,2634670.0000000
22,055295103,293.000000000000000,1,WI,55,Wisconsin,1.604038843160000,04,Great Lakes Region,BIRCH HILL,3,055295103,0.014357000000000,2010.0000000,Y,418811.0000000,2626620.0000000
23,055295104,154.000000000000000,1,WI,55,Wisconsin,3.279014104820000,04,Great Lakes Region,FRANKS FIELD,4,055295104,0.007546000000000,2010.0000000,Y,415269.0000000,2629950.0000000
24,055295301,305.000000000000000,1,WI,55,Wisconsin,70.896467489399996,07,Upper Mississippi Region,NEW POST,0, ,0.000000000000000,0.0000000, ,373733.0000000,2555860.0000000
25,055295401,1969.000000000000000,1,WI,55,Wisconsin,20.126350546699999,07,Upper Mississippi Region,LAC DU FLAMBEAU,5,055295401,0.178000000000000,2010.0000000,Y,473352.0000000,2568960.0000000
26,055295501,98.000000000000000,1,WI,55,Wisconsin,22.173172195399999,04,Great Lakes Region,ZOAR,7,055295501,0.006356000000000,2010.0000000,Y,558747.0000000,2468380.0000000
27,055295502,1262.000000000000000,1,WI,55,Wisconsin,21.617540623099998,04,Great Lakes Region,KESHENA,8,055295502,0.165000000000000,2010.0000000,Y,583318.0000000,2454320.0000000
28,055295503,690.000000000000000,1,WI,55,Wisconsin,32.472122899600002,04,Great Lakes Region,NEOPIT,9,055295503,0.090000000000000,2010.0000000,Y,564443.0000000,2465580.0000000
29,055295505,1525.000000000000000,1,WI,55,Wisconsin,53.026287924000002,04,Great Lakes Region,RED WING,11,055295505,0.005521000000000,2010.0000000,Y,586941.0000000,2457170.0000000
30,055295507,281.000000000000000,1,WI,55,Wisconsin,15.855205460500001,04,Great Lakes Region,MIDDLE VILLAGE,12,055295507,0.024767000000000,2010.0000000,Y,572186.0000000,2460140.0000000
31,055295601,435.000000000000000,1,WI,55,Wisconsin,10.773897843400000,04,Great Lakes Region,MOLE LAKE,13,055295601,0.021315000000000,2010.0000000,Y,548092.0000000,2519880.0000000
32,062005883,333.000000000000000,1,OK,40,Oklahoma,1.256816847100000,11,Arkansas-White-Red Region,WYANDOTTE NATION,0, ,0.000000000000000,0.0000000, ,112893.0000000,1528480.0000000
33,063500110,1788.000000000000000,1,NM,35,New Mexico,5.303017831430000,13,Rio Grande Region,JEMEZ PUEBLO,0, ,0.000000000000000,0.0000000, ,-962049.0000000,1449080.0000000
34,063500113,68.000000000000000,1,NM,35,New Mexico,1.189993141810000,13,Rio Grande Region,PICURIS PUEBLO,0, ,0.000000000000000,0.0000000, ,-863866.0000000,1505190.0000000
35,063500114,369.000000000000000,1,NM,35,New Mexico,2.936880016130000,13,Rio Grande Region,SANDIA PUEBLO,0, ,0.000000000000000,0.0000000, ,-951683.0000000,1408310.0000000
36,063500116,524.000000000000000,1,NM,35,New Mexico,11.947081463100000,13,Rio Grande Region,SAN ILDEFONSO PUEBLO,0, ,0.000000000000000,0.0000000, ,-903853.0000000,1475480.0000000
37,063500119,1818.000000000000000,1,NM,35,New Mexico,22.517337083400001,13,Rio Grande Region,NAMBE PUEBLO,0, ,0.000000000000000,0.0000000, ,-890024.0000000,1473850.0000000
38,063500122,233.000000000000000,1,NM,35,New Mexico,5.693498849220000,13,Rio Grande Region,TESUQUE PUEBLO,0, ,0.000000000000000,0.0000000, ,-891677.0000000,1464180.0000000
39,063500123,737.000000000000000,1,NM,35,New Mexico,70.121858894900001,13,Rio Grande Region,ZIA PUEBLO,0, ,0.000000000000000,0.0000000, ,-961084.0000000,1439300.0000000
40,063500166,1018.000000000000000,1,NM,35,New Mexico,5.238273993680000,13,Rio Grande Region,SANTA CLARA PUEBLO,0, ,0.000000000000000,0.0000000, ,-900428.0000000,1483460.0000000
41,063500191,1135.000000000000000,1,NM,35,New Mexico,40.376618008700000,13,Rio Grande Region,TAOS PUEBLO,0, ,0.000000000000000,0.0000000, ,-847575.0000000,1533350.0000000
42,063501100,4555.000000000000000,6,NM,35,New Mexico,30.277626900600001,13,Rio Grande Region,POJOAQUE SOUTH,0, ,0.000000000000000,0.0000000, ,-895869.0000000,1472310.0000000
43,063501111,1241.000000000000000,1,NM,35,New Mexico,28.349348834600001,13,Rio Grande Region,LAGUNA ENCINAL,0, ,0.000000000000000,0.0000000, ,-1028840.0000000,1394740.0000000
44,063501117,1143.000000000000000,1,NM,35,New Mexico,9.957499736250000,13,Rio Grande Region,OHKAY OWINGEH PUEBLO,0, ,0.000000000000000,0.0000000, ,-896188.0000000,1491150.0000000
45,063501124,7625.000000000000000,2,NM,35,New Mexico,27.440299600800000,15,Lower Colorado Region,ZUNI PUEBLO,0, ,0.000000000000000,0.0000000, ,-1157130.0000000,1413200.0000000
46,063501160,2404.000000000000000,1,NM,35,New Mexico,31.763825955400002,13,Rio Grande Region,SAN FELIPE PUEBLO,0, ,0.000000000000000,0.0000000, ,-936493.0000000,1426880.0000000
47,063502111,421.000000000000000,1,NM,35,New Mexico,19.186054528100001,13,Rio Grande Region,LAGUNA PAGUATE,0, ,0.000000000000000,0.0000000, ,-1024360.0000000,1403400.0000000
48,063503109,491.000000000000000,1,NM,35,New Mexico,0.686545482410000,13,Rio Grande Region,ISLETA WESTSIDE,0, ,0.000000000000000,0.0000000, ,-967064.0000000,1370840.0000000
49,063503233,1338.000000000000000,1,NM,35,New Mexico,46.359815325900001,13,Rio Grande Region,MESCALERO CARRIZO,0, ,0.000000000000000,0.0000000, ,-905633.0000000,1166450.0000000
50,063504118,610.000000000000000,1,NM,35,New Mexico,19.480464727800001,13,Rio Grande Region,SANTA ANA PUEBLO,0, ,0.000000000000000,0.0000000, ,-945858.0000000,1418280.0000000
51,063568423,528.000000000000000,1,NM,35,New Mexico,2.017629302360000,13,Rio Grande Region,COCHITI  LAKE,0, ,0.000000000000000,0.0000000, ,-927536.0000000,1445680.0000000
52,083090004,174.000000000000000,1,MT,30,Montana,24.759458812199998,09,Souris-Red-Rainy Region,BEDROCKBABB WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-1287300.0000000,2993270.0000000
53,083090005,582.000000000000000,1,MT,30,Montana,11.862914516800000,10,Missouri Region,HEART BUTTE WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-1254630.0000000,2921590.0000000
54,083090007,252.000000000000000,1,MT,30,Montana,10.956890032700001,10,Missouri Region,STARR SCHOOL WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-1271210.0000000,2959130.0000000
55,083090011,1616.000000000000000,1,MT,30,Montana,18.923110749599999,10,Missouri Region,CROW AGENCY WATER SYSTEM,24,083090011,0.275000000000000,2010.0000000,Y,-892097.0000000,2566600.0000000
56,083090012,618.000000000000000,1,MT,30,Montana,103.113088121999994,10,Missouri Region,PRYOR WATER SYSTEM,26,083090012,0.076000000000000,2010.0000000,Y,-977679.0000000,2556080.0000000
57,083090014,215.000000000000000,1,MT,30,Montana,17.419150191400000,10,Missouri Region,WYOLA WATER SYSTEM,28,083090014,0.024000000000000,2010.0000000,Y,-891917.0000000,2511820.0000000
58,083090022,84.000000000000000,1,MT,30,Montana,1.432757373360000,17,Pacific Northwest Region,DAYTON WATER SYSTEM,30,083090022,0.004000000000000,2015.0000000,Y,-1369480.0000000,2895180.0000000
59,083090023,107.000000000000000,1,MT,30,Montana,1.721202533160000,17,Pacific Northwest Region,DIXON (OLD AGENCY),31,083090023,0.014000000000000,2010.0000000,Y,-1382680.0000000,2836950.0000000
60,083090024,180.000000000000000,1,MT,30,Montana,0.820414521770000,17,Pacific Northwest Region,ELMO WATER SYSTEM,33,083090024,0.031000000000000,2015.0000000,Y,-1375520.0000000,2892420.0000000
61,083090025,322.000000000000000,1,MT,30,Montana,44.445111679500002,17,Pacific Northwest Region,EVARO WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-1366910.0000000,2806140.0000000
62,083090027,636.000000000000000,1,MT,30,Montana,16.754891632900001,17,Pacific Northwest Region,JOCKO HOMESITES (ARLEE),0, ,0.000000000000000,0.0000000, ,-1369420.0000000,2817280.0000000
63,083090032,209.000000000000000,1,MT,30,Montana,1.708527142570000,17,Pacific Northwest Region,TURTLE LAKE WATER SYSTEM,38,083090032,0.033000000000000,2015.0000000,Y,-1359260.0000000,2871390.0000000
64,083090034,203.000000000000000,1,MT,30,Montana,17.880989133700002,17,Pacific Northwest Region,"DIXON, TOWN OF",41,083090034,0.030000000000000,2010.0000000,Y,-1387110.0000000,2837120.0000000
65,083090041,1293.000000000000000,1,MT,30,Montana,118.516182950000001,10,Missouri Region,FORT BELKNAP AGENCY WATER SYS.,45,083090041,0.254000000000000,2010.0000000,Y,-945656.0000000,2888520.0000000
66,083090044,843.000000000000000,1,MT,30,Montana,70.178419286400000,10,Missouri Region,HAYS/WHITE COW CANYON WATER S.,47,083090044,0.069000000000000,2010.0000000,Y,-949803.0000000,2842800.0000000
67,083090047,265.000000000000000,1,MT,30,Montana,34.675985126400001,10,Missouri Region,LODGEPOLE HOUSING WATER SYSTEM,51,083090047,0.012000000000000,2010.0000000,Y,-941227.0000000,2843490.0000000
68,083090050,208.000000000000000,1,MT,30,Montana,2.596224956080000,10,Missouri Region,083090050 ASSINIBOINE & SIOUX RURAL WATER SYSTEM,53,083090050,1.165000000000000,2015.0000000,Y,-616392.0000000,2820210.0000000
69,083090053,362.000000000000000,1,MT,30,Montana,4.272984784050000,10,Missouri Region,FRAZER WATER SYSTEM,54,083090053,0.105000000000000,2010.0000000,Y,-753997.0000000,2823930.0000000
70,083090062,137.000000000000000,1,MT,30,Montana,39.074157354900002,10,Missouri Region,BIRNEY VILLAGE,56,083090062,0.019000000000000,2010.0000000,Y,-819211.0000000,2537180.0000000
71,083090063,745.000000000000000,1,MT,30,Montana,37.278482400900003,10,Missouri Region,BUSBY COMMUNITY WATER SYSTEM,58,083090063,0.106000000000000,2010.0000000,Y,-855082.0000000,2553590.0000000
72,083090064,2052.000000000000000,1,MT,30,Montana,143.988374427999986,10,Missouri Region,LAME DEER WATER SYSTEM,60,083090064,0.347000000000000,2010.0000000,Y,-826257.0000000,2559860.0000000
73,083090309,177.000000000000000,1,MT,30,Montana,14.034723169399999,17,Pacific Northwest Region,083090309 BIG ARM WATER SYSTEM,69,083090309,0.012000000000000,2015.0000000,Y,-1370670.0000000,2887390.0000000
74,083890001,596.000000000000000,1,ND,38,North Dakota,29.051774472200002,10,Missouri Region,MANDAREE WATER PLANT,0, ,0.000000000000000,0.0000000, ,-504033.0000000,2766400.0000000
75,083890007,267.000000000000000,2,ND,38,North Dakota,1.021761392290000,10,Missouri Region,FORT YATES WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-366173.0000000,2598110.0000000
76,083890023,2078.000000000000000,1,ND,38,North Dakota,15.562749641000000,09,Souris-Red-Rainy Region,BELCOURT-TURTLE MTN RURAL WTR,70,083890023,0.143873000000000,2000.0000000,Y,-278051.0000000,2876330.0000000
77,084690020,709.000000000000000,1,SD,46,South Dakota,0.937849047890000,10,Missouri Region,ST. FRANCIS,0, ,0.000000000000000,0.0000000, ,-396570.0000000,2248860.0000000
78,084690026,5446.000000000000000,8,SD,46,South Dakota,23.540214033200002,10,Missouri Region,MNI WICONI WTP / CORELINE,0, ,0.000000000000000,0.0000000, ,-380108.0000000,2344430.0000000
79,084690440,1282.000000000000000,1,SD,46,South Dakota,32.625813169600001,10,Missouri Region,FORT THOMPSON WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-272268.0000000,2344680.0000000
80,084690441,613.000000000000000,1,SD,46,South Dakota,0.941268800590000,10,Missouri Region,LOWER BRULE RURAL WTR SUP SYS,0, ,0.000000000000000,0.0000000, ,-286017.0000000,2347960.0000000
81,084690453,319.000000000000000,1,SD,46,South Dakota,3.686783155770000,10,Missouri Region,LITTLE EAGLE WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-373603.0000000,2531140.0000000
82,084690461,168.000000000000000,1,SD,46,South Dakota,0.321255179670000,07,Upper Mississippi Region,PEEVER FLATS WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-74676.7031250,2506430.0000000
83,084690471,725.000000000000000,1,SD,46,South Dakota,5.564320422590000,10,Missouri Region,WANBLEE WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-455134.0000000,2299970.0000000
84,084690474,846.000000000000000,1,SD,46,South Dakota,3.952139364400000,10,Missouri Region,KYLE WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-497664.0000000,2286320.0000000
85,084690475,3308.000000000000000,1,SD,46,South Dakota,7.348280999780000,10,Missouri Region,PINE RIDGE WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-530393.0000000,2243990.0000000
86,084690478,382.000000000000000,1,SD,46,South Dakota,2.771663345880000,10,Missouri Region,WOUNDED KNEE WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-514915.0000000,2255900.0000000
87,084690480,1290.000000000000000,1,SD,46,South Dakota,34.605540548100002,10,Missouri Region,OGLALA RWS PIPELINE,0, ,0.000000000000000,0.0000000, ,-544056.0000000,2262130.0000000
88,084690481,420.000000000000000,1,SD,46,South Dakota,8.402459552550001,10,Missouri Region,ALLEN WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-478398.0000000,2268670.0000000
89,084690528,1587.000000000000000,1,SD,46,South Dakota,33.706948308199998,10,Missouri Region,ROSEBUD RURAL WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-389519.0000000,2259260.0000000
90,084990002,1515.000000000000000,3,UT,49,Utah,229.815812407999999,14,Upper Colorado Region,URIAH HEEPS SPRING WATER SYST.,0, ,0.000000000000000,0.0000000, ,-1156160.0000000,1997150.0000000
91,084990003,289.000000000000000,1,UT,49,Utah,6.096039291240000,14,Upper Colorado Region,WHITEROCKS,0, ,0.000000000000000,0.0000000, ,-1167710.0000000,2025710.0000000
92,084990004,242.000000000000000,1,UT,49,Utah,40.527281090400002,14,Upper Colorado Region,WHITE MESA WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-1175520.0000000,1685650.0000000
93,085690002,1553.000000000000000,1,WY,56,Wyoming,84.197536464400002,10,Missouri Region,ETHETE WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-1027950.0000000,2292250.0000000
94,085690003,1759.000000000000000,1,WY,56,Wyoming,54.103546964800003,10,Missouri Region,FORT WASHAKIE,0, ,0.000000000000000,0.0000000, ,-1044060.0000000,2294960.0000000
95,085690004,1656.000000000000000,1,WY,56,Wyoming,72.145432182400000,10,Missouri Region,ARAPAHOE COMM WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,-1006810.0000000,2288040.0000000
96,090400001,299.000000000000000,1,AZ,04,Arizona,13.336393513399999,15,Lower Colorado Region,Topawa Intertie,0, ,0.000000000000000,0.0000000, ,-1485350.0000000,1094470.0000000
97,090400002,37.000000000000000,1,AZ,04,Arizona,1.352811447230000,15,Lower Colorado Region,Nolic Intertie,0, ,0.000000000000000,0.0000000, ,-1492720.0000000,1121130.0000000
98,090400008,52.000000000000000,1,AZ,04,Arizona,2.410342507350000,15,Lower Colorado Region,Charco 27,0, ,0.000000000000000,0.0000000, ,-1548350.0000000,1154990.0000000
99,090400016,27.000000000000000,1,AZ,04,Arizona,0.254051336290000,15,Lower Colorado Region,Kohatk,0, ,0.000000000000000,0.0000000, ,-1487060.0000000,1181750.0000000
100,090400018,628.000000000000000,1,AZ,04,Arizona,16.959071083700000,15,Lower Colorado Region,Santa Rosa Ranch Intertie,0, ,0.000000000000000,0.0000000, ,-1495670.0000000,1155440.0000000
101,090400022,30.000000000000000,1,AZ,04,Arizona,1.362612447830000,15,Lower Colorado Region,Ak Chin,0, ,0.000000000000000,0.0000000, ,-1493120.0000000,1149890.0000000
102,090400026,197.000000000000000,1,AZ,04,Arizona,14.638871631300001,15,Lower Colorado Region,San Miguel,0, ,0.000000000000000,0.0000000, ,-1484090.0000000,1074020.0000000
103,090400027,49.000000000000000,1,AZ,04,Arizona,2.685237909860000,15,Lower Colorado Region,Ventana,0, ,0.000000000000000,0.0000000, ,-1511340.0000000,1173360.0000000
104,090400029,135.000000000000000,1,AZ,04,Arizona,2.071511070790000,15,Lower Colorado Region,Cowlic,0, ,0.000000000000000,0.0000000, ,-1500030.0000000,1096560.0000000
105,090400030,321.000000000000000,1,AZ,04,Arizona,5.875811464700000,15,Lower Colorado Region,Pisinemo Intertie,0, ,0.000000000000000,0.0000000, ,-1526440.0000000,1127060.0000000
106,090400037,141.000000000000000,1,AZ,04,Arizona,0.662662457780000,15,Lower Colorado Region,Kaka,0, ,0.000000000000000,0.0000000, ,-1517190.0000000,1179340.0000000
107,090400042,2495.000000000000000,1,AZ,04,Arizona,24.613866633000001,15,Lower Colorado Region,Sells Intertie,0, ,0.000000000000000,0.0000000, ,-1487770.0000000,1107490.0000000
108,090400076,812.000000000000000,1,AZ,04,Arizona,31.797570995000001,15,Lower Colorado Region,WMATUA Hondah-McNary,0, ,0.000000000000000,0.0000000, ,-1269870.0000000,1317540.0000000
109,090400092,1388.000000000000000,1,AZ,04,Arizona,40.908147705499999,15,Lower Colorado Region,GRIC DPW Casa Blanca/Bapchule,0, ,0.000000000000000,0.0000000, ,-1468410.0000000,1239270.0000000
110,090400102,208.000000000000000,1,AZ,04,Arizona,4.481080577040000,15,Lower Colorado Region,Havasupai Village,0, ,0.000000000000000,0.0000000, ,-1479200.0000000,1594400.0000000
111,090400104,964.000000000000000,1,AZ,04,Arizona,3.893069674880000,15,Lower Colorado Region,Upper Moenkopi,0, ,0.000000000000000,0.0000000, ,-1352060.0000000,1559800.0000000
112,090400110,1962.000000000000000,1,AZ,04,Arizona,11.407554665399999,15,Lower Colorado Region,SCUA Bylas,0, ,0.000000000000000,0.0000000, ,-1303880.0000000,1214650.0000000
113,090400206,8611.000000000000000,1,AZ,04,Arizona,23.243735641200001,15,Lower Colorado Region,Tuba City Community - NTUA,0, ,0.000000000000000,0.0000000, ,-1354450.0000000,1561680.0000000
114,090400243,1713.000000000000000,1,AZ,04,Arizona,15.467990298500000,15,Lower Colorado Region,WMAUA Cibecue,0, ,0.000000000000000,0.0000000, ,-1322370.0000000,1319900.0000000
115,090400244,127.000000000000000,1,AZ,04,Arizona,23.440640210800002,15,Lower Colorado Region,WMAUA Carrizo,0, ,0.000000000000000,0.0000000, ,-1309610.0000000,1312150.0000000
116,090400300,946.000000000000000,1,AZ,04,Arizona,4.118644508210000,15,Lower Colorado Region,090400300 Arizona Village,84,090400300,0.061415000000000,2010.0000000,Y,-1675150.0000000,1474900.0000000
117,090400301,416.000000000000000,1,AZ,04,Arizona,2.626496845910000,15,Lower Colorado Region,090400301 Mesquite Creek,85,090400301,0.087192000000000,2010.0000000,Y,-1671210.0000000,1486210.0000000
118,090403010,885.000000000000000,1,AZ,04,Arizona,48.538903754800003,15,Lower Colorado Region,Cameron Community - NTUA,0, ,0.000000000000000,0.0000000, ,-1375120.0000000,1534140.0000000
119,090600128,173.000000000000000,1,CA,06,California,8.331661427149999,18,California Region,Fort Bidwell Reservation,99,090600128,0.023355000000000,2010.0000000,Y,-1970050.0000000,2347120.0000000
120,090600159,280.000000000000000,1,CA,06,California,73.823174467399994,18,California Region,Benton Paiute Tribe,119,090600159,0.015570000000000,2010.0000000,Y,-1942170.0000000,1873220.0000000
121,090605116,2926.000000000000000,1,CA,06,California,41.661939590800003,18,California Region,Torres-Martinez Avenue 64,154,090605116,0.017300000000000,2010.0000000,Y,-1848280.0000000,1370330.0000000
122,090605126,0.000000000000000,1,CA,06,California,54.879762530199997,18,California Region,Hoopa Valley-Wide System,160,090605126,0.444956000000000,2010.0000000,Y,-2276000.0000000,2341770.0000000
123,090605143,779.000000000000000,1,CA,06,California,32.116203167999998,18,California Region,Yurok - Terwer Water System,165,090605143,0.084770000000000,2010.0000000,Y,-2286120.0000000,2397960.0000000
124,090605153,0.000000000000000,1,CA,06,California,10.816074863500001,18,California Region,Pala North,167,090605153,2.422000000000000,2010.0000000,Y,-1931790.0000000,1358690.0000000
125,093200168,374.000000000000000,1,NV,32,Nevada,16.388105362000001,16,Great Basin Region,Nixon,0, ,0.000000000000000,0.0000000, ,-1961580.0000000,2110060.0000000
126,093200169,834.000000000000000,1,NV,32,Nevada,9.636477055889999,16,Great Basin Region,Wadsworth,0, ,0.000000000000000,0.0000000, ,-1961090.0000000,2087270.0000000
127,093200360,658.000000000000000,1,NV,32,Nevada,151.613930336000010,16,Great Basin Region,Schurz (Walker River),0, ,0.000000000000000,0.0000000, ,-1939460.0000000,2000270.0000000
128,093200362,253.000000000000000,1,NV,32,Nevada,25.888221371899999,16,Great Basin Region,Sutcliffe,0, ,0.000000000000000,0.0000000, ,-1980740.0000000,2128520.0000000
129,093500302,567.000000000000000,1,NM,35,New Mexico,15.045851771000001,15,Lower Colorado Region,Rock Springs Community - NTUA,0, ,0.000000000000000,0.0000000, ,-1148450.0000000,1472470.0000000
130,100211202,1405.000000000000000,1,AK,02,Alaska,4.848553085970000,19,Alaska Region,METLAKATLA,174,100211202,0.104700000000000,2010.0000000,Y,-2332500.0000000,3990560.0000000
131,101612109,3201.000000000000000,1,ID,16,Idaho,90.899031401900004,17,Pacific Northwest Region,FORT HALL,0, ,0.000000000000000,0.0000000, ,-1327680.0000000,2339630.0000000
132,104101247,2945.000000000000000,1,OR,41,Oregon,110.320208962999999,17,Pacific Northwest Region,WARM SPRINGS WATER TREATMENT PLANT,0, ,0.000000000000000,0.0000000, ,-1975640.0000000,2684140.0000000
133,104111101,1037.000000000000000,1,OR,41,Oregon,19.715842472500000,17,Pacific Northwest Region,CTUIR PWD/MISSION,0, ,0.000000000000000,0.0000000, ,-1750450.0000000,2728770.0000000
134,105300006,234.000000000000000,1,WA,53,Washington,24.642858678400000,17,Pacific Northwest Region,KELLER,0, ,0.000000000000000,0.0000000, ,-1691180.0000000,2990260.0000000
135,105300007,236.000000000000000,1,WA,53,Washington,0.502529769580000,17,Pacific Northwest Region,NESPELEM AGENCY,0, ,0.000000000000000,0.0000000, ,-1707330.0000000,3003930.0000000
136,105300010,59.000000000000000,1,WA,53,Washington,10.809201737200000,17,Pacific Northwest Region,TWIN LAKES HUD,0, ,0.000000000000000,0.0000000, ,-1660030.0000000,3003760.0000000
137,105300017,174.000000000000000,1,WA,53,Washington,3.729831458830000,17,Pacific Northwest Region,QUEETS,0, ,0.000000000000000,0.0000000, ,-2115950.0000000,3044250.0000000
138,105300020,617.000000000000000,1,WA,53,Washington,17.925502129200002,17,Pacific Northwest Region,SKOKOMISH,0, ,0.000000000000000,0.0000000, ,-2036480.0000000,2997150.0000000
139,105300026,793.000000000000000,1,WA,53,Washington,6.908019681900000,17,Pacific Northwest Region,WHITE SWAN,0, ,0.000000000000000,0.0000000, ,-1886520.0000000,2845510.0000000
140,105300033,487.000000000000000,1,WA,53,Washington,4.769389308000000,17,Pacific Northwest Region,MALOTT,0, ,0.000000000000000,0.0000000, ,-1756570.0000000,3030490.0000000
141,105300081,42.000000000000000,1,WA,53,Washington,4.033513508220000,17,Pacific Northwest Region,SANTIAGO WATER ASSOCIATION,0, ,0.000000000000000,0.0000000, ,-2115960.0000000,3017260.0000000
